url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at,num_ampersand,num_percent,num_digits,domain_length,subdomain_length,tld_length,subdomain_count,path_depth,num_params,has_ip,has_port,is_https,entropy,suspicious_word_count,brand_in_subdomain,brand_in_path,suspicious_tld,is_shortened,special_char_ratio,label
42,33,1,0,2,0,0,3,0,0,0,0,0,0,11,17,3,1,0,0,0,0,1,4.050304851907325,0,0,0,0,0,0.14285714285714285,1
190,15,108,58,3,1,1,7,1,4,0,3,0,17,6,4,3,1,5,4,0,0,1,5.475259060350477,0,0,0,0,0,0.12631578947368421,1
22,6,8,0,1,0,0,3,0,0,0,0,0,2,3,0,2,0,1,0,0,0,1,3.936260027531526,0,0,0,0,0,0.22727272727272727,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,9,0,5,0,0,0,0,0,1,3.8820451081368628,0,0,0,0,0,0.21739130434782608,1
175,15,108,43,2,2,1,7,1,3,0,2,0,21,6,4,3,1,5,3,0,0,1,5.553809435658886,0,0,0,0,0,0.12,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.25,0,0,0,0,0,0.25,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,5,4,3,1,0,0,0,0,1,3.6978458230844122,0,0,0,0,0,0.22727272727272727,0
36,14,15,0,3,0,0,4,0,0,0,0,0,6,3,7,2,1,2,0,0,0,0,4.037844793048881,0,0,0,0,0,0.2222222222222222,1
39,8,8,14,2,0,0,3,1,1,0,1,0,6,1,3,2,1,1,2,0,0,1,4.333622334791382,0,0,0,0,0,0.2564102564102564,1
62,27,27,0,3,0,0,3,0,0,0,0,3,5,11,11,3,1,1,0,0,0,1,4.558303770967773,0,0,0,0,0,0.16129032258064516,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,3.7841837197791888,0,0,0,0,0,0.2,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,6,5,3,1,0,0,0,0,1,3.751629167387823,0,0,0,0,0,0.20833333333333334,0
32,23,1,0,2,0,0,3,0,0,0,0,0,0,6,12,3,1,0,0,0,0,1,4.155639062229566,0,0,0,0,0,0.1875,1
175,15,108,43,2,1,0,7,1,3,0,2,0,16,6,4,3,1,5,3,0,0,1,5.605126292752294,0,0,0,0,0,0.10857142857142857,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,3.3232314287976203,0,0,0,0,0,0.26666666666666666,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,6,5,3,1,0,0,0,0,1,3.7720552088742005,0,0,0,0,0,0.20833333333333334,0
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.6753108689123644,0,0,0,0,0,0.21739130434782608,0
167,15,108,35,2,2,0,7,1,3,0,2,0,18,6,4,3,1,5,3,0,0,1,5.61651892847814,0,0,0,0,0,0.10778443113772455,1
23,4,11,0,1,0,0,3,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,3.9361804341297555,0,0,0,0,0,0.21739130434782608,1
32,14,10,0,1,0,0,3,0,0,0,0,0,0,10,0,3,0,1,0,0,0,1,4.132048827786958,0,0,0,0,0,0.15625,1
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.689703732199547,0,0,0,0,0,0.19047619047619047,0
18,10,0,0,2,0,0,2,0,0,0,0,0,1,2,3,3,1,0,0,0,0,1,3.3921472236645345,0,0,0,0,0,0.2777777777777778,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.25,0,0,0,0,0,0.25,0
175,15,108,43,2,2,0,7,1,3,0,2,0,13,6,4,3,1,5,3,0,0,1,5.527249410605961,0,0,0,0,0,0.11428571428571428,1
24,16,0,0,2,0,0,2,0,0,0,0,0,0,8,3,3,1,0,0,0,0,1,3.7720552088742005,0,0,0,0,0,0.20833333333333334,0
40,31,1,0,2,2,0,3,0,0,0,0,0,0,11,15,3,1,0,0,0,0,1,4.037326145256007,0,0,0,0,0,0.2,1
